# Guia de carreras universitarias (SIU), https://guiadecarreras.siu.edu.ar/ciie_ofertas/2.0/guia_grado.php , filtro provincia = Tucuman, nivel posgrado. Consultado el 2026-09-08 con un navegador automatizado. La primera fila de datos repite el encabezado tal como lo muestra la tabla.
universidad,facultad,titulo,tipo_de_titulo,duracion,condiciones_de_ingreso,domicilio,telefono,web,mail
"Universidad Nacional de Tucumán","Facultad de Medicina","Especialista en Dirección de Sistemas de Salud","Especialización","2 Años","Entrevista de Admisión","Lamadrid 875 - San Miguel De Tucuman - Tucumán","(0381) 4248023","www.fm.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Medicina","Especialista en Neonatología","Especialización","4 Años","Consulte con la Institución","Lamadrid 875 - San Miguel De Tucuman - Tucumán","(0381) 4248023","www.fm.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Medicina","Especialista en Tocoginecología","Especialización","4 Años","Consulte con la Institución","Lamadrid 875 - San Miguel De Tucuman - Tucumán","(0381) 4248023","www.fm.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Medicina","Magister en Educación Médica","Maestría","2 Años","Entrevista de Admisión","Lamadrid 875 - San Miguel De Tucuman - Tucumán","(0381) 4248023","www.fm.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Medicina","Magister en Hipertensión Arterial","Maestría","2 Años","Entrevista de Admisión","Lamadrid 875 - San Miguel De Tucuman - Tucumán","(0381) 4248023","www.fm.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Medicina","Magister en Investigación en Ciencias de la Salud","Maestría","2 Años","Entrevista de Admisión","Lamadrid 875 - San Miguel De Tucuman - Tucumán","(0381) 4248023","www.fm.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Odontología","Doctor en Odontología","Doctorado","6 Años","Entrevista de Admisión","Av. Benjamin Araoz 800 - San Miguel De Tucuman - Tucumán","(0381) 4227589","www.odontologia.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Odontología","Especialista en Cirugía y Traumatología Buco-Máxilo-Facial","Especialización","3 Años","Entrevista de Admisión","Av. Benjamin Araoz 800 - San Miguel De Tucuman - Tucumán","(0381) 4227589","www.odontologia.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Odontología","Especialista en Endodoncia","Especialización","2 Años","Entrevista de Admisión","Av. Benjamin Araoz 800 - San Miguel De Tucuman - Tucumán","(0381) 4227589","www.odontologia.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Odontología","Especialista en Operatoria Dental y Biomateriales","Especialización","3 Años","Entrevista de Admisión","Av. Benjamin Araoz 800 - San Miguel De Tucuman - Tucumán","(0381) 4227589","www.odontologia.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Psicología","Doctor en Psicología","Doctorado","4 Años","Entrevista de Admisión","Av. Benjamin Araoz 800 - San Miguel De Tucuman - Tucumán","(0381) 4847337","www.psicologia.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Psicología","Especialista en Evaluación y Diagnóstico Psicológico","Especialización","2 Años","Entrevista de Admisión","Av. Benjamin Araoz 800 - San Miguel De Tucuman - Tucumán","(0381) 4847337","www.psicologia.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Psicología","Especialista en Psicología Clínica de Niños y Adolescentes con Orientación Psicoanalítica","Especialización","2 Años","Entrevista de Admisión","Av. Benjamin Araoz 800 - San Miguel De Tucuman - Tucumán","(0381) 4847337","www.psicologia.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Psicología","Especialista en Psicología Jurídico Forense","Especialización","2 Años","Entrevista de Admisión","Av. Benjamin Araoz 800 - San Miguel De Tucuman - Tucumán","(0381) 4847337","www.psicologia.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Psicología","Magister en Clínica Psicoanalítica","Maestría","2 Años","Entrevista de Admisión","Av. Benjamin Araoz 800 - San Miguel De Tucuman - Tucumán","(0381) 4847337","www.psicologia.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Facultad de Psicología","Magister en Psicología Educacional","Maestría","2 Años","Entrevista de Admisión","Av. Benjamin Araoz 800 - San Miguel De Tucuman - Tucumán","(0381) 4847337","www.psicologia.unt.edu.ar","info@unt.edu.ar"
"Universidad Nacional de Tucumán","Rectorado","Especialista en Drogadependencias - MD","Especialización","2 Años","Consulte con la Institución","Ayacucho 491 - San Miguel De Tucuman - Tucumán","(0381) 4247752","www.unt.edu.ar","info@unt.edu.ar"
"Universidad Tecnológica Nacional","Facultad Regional Tucumán","Especialista en Docencia Universitaria","Especialización","2 Años","Consulte con la Institución","Rivadavia 1050 - San Miguel De Tucuman - Tucumán","(0381) 421-7150","www.frt.utn.edu.ar","despacho@frt.utn.edu.ar"
"Universidad Tecnológica Nacional","Facultad Regional Tucumán","Especialista en Higiene y Seguridad en el Trabajo","Especialización","2 Años","Consulte con la Institución","Rivadavia 1050 - San Miguel De Tucuman - Tucumán","(0381) 421-7150","www.frt.utn.edu.ar","despacho@frt.utn.edu.ar"
"Universidad Tecnológica Nacional","Facultad Regional Tucumán","Especialista en Ingeniería Ambiental","Especialización","2 Años","Consulte con la Institución","Rivadavia 1050 - San Miguel De Tucuman - Tucumán","(0381) 421-7150","www.frt.utn.edu.ar","despacho@frt.utn.edu.ar"
"Universidad Tecnológica Nacional","Facultad Regional Tucumán","Especialista en Ingeniería Bioenergética","Especialización","2 Años","Consulte con la Institución","Rivadavia 1050 - San Miguel De Tucuman - Tucumán","(0381) 421-7150","www.frt.utn.edu.ar","despacho@frt.utn.edu.ar"
"Universidad Tecnológica Nacional","Facultad Regional Tucumán","Especialista en Ingeniería en Mantenimiento","Especialización","3 Años","Consulte con la Institución","Rivadavia 1050 - San Miguel De Tucuman - Tucumán","(0381) 421-7150","www.frt.utn.edu.ar","despacho@frt.utn.edu.ar"
"Universidad Tecnológica Nacional","Facultad Regional Tucumán","Especialista en Ingeniería en Sistemas de Información","Especialización","2 Años","Consulte con la Institución","Rivadavia 1050 - San Miguel De Tucuman - Tucumán","(0381) 421-7150","www.frt.utn.edu.ar","despacho@frt.utn.edu.ar"
"Universidad Tecnológica Nacional","Facultad Regional Tucumán","Especialista en Ingeniería Gerencial","Especialización","2 Años","Consulte con la Institución","Rivadavia 1050 - San Miguel De Tucuman - Tucumán","(0381) 421-7150","www.frt.utn.edu.ar","despacho@frt.utn.edu.ar"
"Universidad Tecnológica Nacional","Facultad Regional Tucumán","Magister en Administración de Negocios","Maestría","4 Años","Consulte con la Institución","Rivadavia 1050 - San Miguel De Tucuman - Tucumán","(0381) 421-7150","www.frt.utn.edu.ar","despacho@frt.utn.edu.ar"
"Universidad Tecnológica Nacional","Facultad Regional Tucumán","Magister en Docencia Universitaria","Maestría","4 Años","Consulte con la Institución","Rivadavia 1050 - San Miguel De Tucuman - Tucumán","(0381) 421-7150","www.frt.utn.edu.ar","despacho@frt.utn.edu.ar"
"Universidad Tecnológica Nacional","Facultad Regional Tucumán","Magister en Ingeniería Ambiental","Maestría","4 Años","Consulte con la Institución","Rivadavia 1050 - San Miguel De Tucuman - Tucumán","(0381) 421-7150","www.frt.utn.edu.ar","despacho@frt.utn.edu.ar"
"Universidad Tecnológica Nacional","Facultad Regional Tucumán","Magister en Ingeniería Bioenergética","Maestría","4 Años","Consulte con la Institución","Rivadavia 1050 - San Miguel De Tucuman - Tucumán","(0381) 421-7150","www.frt.utn.edu.ar","despacho@frt.utn.edu.ar"
"Universidad Tecnológica Nacional","Facultad Regional Tucumán","Magister en Ingeniería en Sistemas de Información","Maestría","4 Años","Consulte con la Institución","Rivadavia 1050 - San Miguel De Tucuman - Tucumán","(0381) 421-7150","www.frt.utn.edu.ar","despacho@frt.utn.edu.ar"
